Hotel name;Rating;Stars;Distance to the sea;Distance to the downtown;Room area;Swimming pool;Price
Silken Gran Hotel Havana ;8,2;4;3;0;26;1;178
AC Hotel Irla by Marriott;7,4;4;4;2;18;0;154
NH Calder?n ;8,1;4;3;0;20;1;186
Hotel Reding ;8,6;3;3;0;12;0;162
Ayre Hotel Gran V?a ;8,7;4;0,5;2;20;1;144
Hotel SB Icaria Barcelona ;8;4;2;2;20;0;173
Granvia ;9;3;3;0;15;0;176
Barcelona Princess;8,5;4;0,5;3,5;25;1;196
Petit Palace Museum ;8,1;4;3,5;0,5;24;0;157
Hotel Soho;8,8;3;3;1;23;1;157
Barcelona Hotel Colonial ;8,1;4;1;1;12;0;185
NH Podium ;8,3;4;2;0,5;23;1;192
Villa Emilia;9;4;3;1,5;23;0;188
Granados 83;8,6;4;3;1;25;1;177
